"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"MAPK3",0.00621466796028019,2.92677757330828e-08,0.0792262521588721,2.66974647864949e-05,0.699794041623637,3.0802632095003e-05,7.99808424480615e-07,0.192610978903247,1.51841312914142e-05,1.26863520766872e-10,0.834571137163749,2.86028988707817e-05,0.0218017558790535,1.10458650592816e-07,1.47378096994919e-07,2.67850627845802e-21,0.03885210554383,0.0144510183624142,2.33361683477286e-06,1.34063722902452e-08,0.99057041355169,5.22335081741289e-05
"RIPK2",4.78136587335789e-05,0.158588841165459,0.400031433532178,0.000596043546443007,0.807113431361534,4.00957157215141e-12,2.62106484157487e-12,0.339845394276883,1.31471815252421e-06,0.00767062391583194,0.83863938299188,3.52195638521629e-11,6.59063836284728e-20,1.13951695527313e-15,1.17332155704993e-13,6.48335728651e-39,0.000184784818828246,0.114290865202706,1.14792082100558e-11,6.51100399804741e-31,0.779526714043158,4.24464453745555e-26
"NFKB1",0.0665921921073965,0.000211059343457933,0.000177043070426603,0.221766286512145,0.0539174737644146,0.000218275512266046,6.178873084306e-06,0.959875769673488,0.0424924909434398,0.0421080943971902,0.268772648292289,0.00204595460014264,1.69334062697843e-12,9.26103164044169e-07,3.26505034839432e-08,3.51561349370181e-14,0.0840686362630721,0.0300495357591291,1.6059448764235e-05,2.24863962245481e-10,0.0356095888867221,1.43965329048045e-15
"HSDL2",6.2719974011036e-07,0.0163492228006924,0.19192904330929,0.0143978454699883,0.142472773169256,1.80667738150396e-08,2.91731228329409e-06,0.907102432487599,0.000169284726546224,5.20768131339936e-05,0.933304669896527,7.01161969595793e-05,0.000843561854999419,2.18489949446392e-13,1.58405675385096e-11,5.79474278999068e-32,0.460032572053235,2.00369958545757e-09,5.34172133085864e-14,1.02594682440493e-17,0.00295655150766563,7.37781112177538e-06
"EPHX2",0.000638361573466015,0.414943570803405,0.171114744548777,0.00555288568985352,0.764075876497116,1.32174213909913e-08,3.24431279834628e-11,0.968864098254598,2.22971352895689e-10,0.0176896286110981,0.656567326536087,1.510269178561e-09,2.34834002791719e-06,8.39115635962107e-16,9.47801766097556e-11,2.30968788060295e-38,0.0142820109652367,0.0025503687167123,5.31303518370621e-13,4.53571030863826e-28,0.0221530390618246,5.76949329729423e-09
"RIDA",7.64390778403266e-05,0.0301711955335741,0.204470126752575,0.38695478243569,0.414430960966151,2.52962606450192e-10,9.90717448878272e-06,0.380673529378929,0.00459843736670375,0.00188659248475631,0.378117591213926,3.59484792642251e-06,0.0012008345325725,5.28593492591584e-09,5.66627106372699e-07,1.73014478595505e-23,0.566112255325956,1.09062401414219e-06,1.88876413746749e-07,3.37239440894498e-14,0.000102738095634959,1.61321273583513e-09
"FDX1",9.55558281220846e-05,0.077357899225725,0.0192739280823129,0.0934180409561147,0.885474095344892,3.73813112108636e-13,6.6581577975522e-05,0.081528907460197,1.3546804058862e-05,0.0799769876747276,0.959378501517178,6.3246807531495e-07,0.00136187926861831,4.38893731116674e-17,5.68647819987722e-12,2.41949470064898e-29,0.00797229276378255,5.43810323222468e-07,3.13933787517126e-15,6.2661664685305e-20,0.00526891961651647,0.000821419015462627
"SYNPO",0.00933929761853275,0.0690802366315969,0.182406035206246,0.0172234210843284,0.134208465188817,0.561997428737787,0.109440782075187,0.499714590818389,3.51056793697113e-10,0.0817468718491371,0.184074595077116,0.0186743019326913,0.440331453360285,0.000225890756319963,0.00366212914602383,1.45874756639182e-14,0.751567133052192,0.727786513008525,2.04767696373919e-14,5.16787720254082e-11,0.851737146180483,0.112724120988097
"KDF1",0.0224114730458244,5.29789890825912e-06,0.0127619959600167,0.0003001513385709,0.907656754410258,1.7546861647341e-06,8.7011415207006e-11,0.00756209741919071,8.79653342185036e-05,1.98247342183962e-09,0.235132275652287,2.02943889052195e-07,3.20548213687228e-08,3.24316944279911e-11,5.70082207979931e-15,4.91040026851629e-40,0.136281678319567,0.0999058951170861,6.21427184635034e-10,8.60218616496061e-18,0.00715316046273862,4.72477077824558e-11
"METTL7A",0.000699903572782373,0.00477601133094397,0.0439760694280949,0.0840160828465756,0.0367978842830197,0.00113045048822762,4.50260001710786e-07,0.0116894730464261,0.000449148303032025,0.000392689756172407,0.317176986798715,0.000184589272090463,0.00124903776509182,6.13036961959893e-14,8.24656670485736e-09,7.4427149336039e-37,0.277669805602159,0.25780858561654,9.4295763627264e-11,3.73796445444256e-29,0.0652327586597725,2.47857671962488e-06
