"","com"
"1","GPX2"
"2","NID2"
"3","PGRMC1"
"4","NFKB1"
"5","ABCB1"
"6","NMB"
"7","PRKCA"
"8","ASNS"
"9","KNTC1"
"10","RIPK2"
"11","HSDL2"
"12","CAT"
"13","RIDA"
"14","METTL7A"
"15","DEPTOR"
"16","DNAJA1"
"17","HPGD"
"18","MAP3K5"
"19","PCK2"
"20","WDR20"
"21","KDF1"
"22","ST6GAL1"
"23","CD19"
"24","MS4A1"
"25","SLC3A1"
"26","MAPK3"
"27","FCRL3"
"28","PLA2R1"
"29","FDX1"
"30","BID"
"31","CCL21"
"32","CCL19"
"33","CD37"
"34","TOP1"
"35","TLR10"
"36","ARHGEF5"
"37","BLK"
"38","EPHX2"
"39","FDCSP"
"40","SYNPO"
