Gene,Cell,cor,pvalue
NFKB1,B.cells.naive,-0.136486811,0.066592192
NFKB1,B.cells.memory,0.355416344,0.000211059
NFKB1,Plasma.cells,-0.181508281,0.000177043
NFKB1,T.cells.CD8,-0.05194188,0.221766287
NFKB1,T.cells.CD4.naive,0.153175417,0.053917474
NFKB1,T.cells.CD4.memory.resting,-0.202736862,0.000218276
NFKB1,T.cells.CD4.memory.activated,0.256313028,6.18E-06
NFKB1,T.cells.follicular.helper,0.067995966,0.95987577
NFKB1,T.cells.regulatory..Tregs.,-0.119449104,0.042492491
NFKB1,T.cells.gamma.delta,0.19378037,0.042108094
NFKB1,NK.cells.resting,0.003322369,0.268772648
NFKB1,NK.cells.activated,-0.135161181,0.002045955
NFKB1,Monocytes,0.159692572,1.69E-12
NFKB1,Macrophages.M0,0.356757248,9.26E-07
NFKB1,Macrophages.M1,0.357206557,3.27E-08
NFKB1,Macrophages.M2,-0.395160784,3.52E-14
NFKB1,Dendritic.cells.resting,-0.107104898,0.084068636
NFKB1,Dendritic.cells.activated,-0.156561794,0.030049536
NFKB1,Mast.cells.resting,-0.275246743,1.61E-05
NFKB1,Mast.cells.activated,0.283974566,2.25E-10
NFKB1,Eosinophils,-0.115792396,0.035609589
NFKB1,Neutrophils,0.105892838,1.44E-15
